Mapping ID,Mapping String,Mapping Menu Name,Existing codes (Mapped),,,,,,,,,,,,,,,Add,,Delete,,,,,,,,,
1647,DIC,DIC / THESAURUS,Literature & Fiction >,Literature & Fiction > Dictionary /Thesaurus,Reference >,Reference > Dictionary /Thesaurus,Textbooks >,Textbooks > Dictionary /Thesaurus,Children and Teens >,Children and Teens > Dictionary /Thesaurus,,,,,,,,,,Literature & Fiction >,Literature & Fiction > Dictionary /Thesaurus,Reference >,Reference > Dictionary /Thesaurus,,,,,,
1648,DIR,DIRECTORY,Reference >,Reference > Directories,,,,,,,,,,,,,,,,,,,,,,,,,
1748,DM,MEDICAL SCIENCES,Textbooks >,Medical Books >,,,,,,,,,,,,,,,,,,,,,,,,,
1750,DN,NOVELS,Literature & Fiction >,Literature & Fiction > Fiction,,,,,,,,,,,,,,,,Literature & Fiction > Fiction,,,,,,,,,
1751,DP,PCMB,Textbooks >,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,DS,SCHOOL,Children and Teens >,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,E,ENGINEERING,Textbooks >,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,ECG,CARDIOLOGY / ECG / HEART,Medical Books >,Medical Books > Cardiology/ECG/Heart Disease,,,,,,,,,,,,,,,,,,,,,,,,,
1651,ECO,ECONOMICS,Academic and Professional > Economics,Academic and Professional >,Reference >,Reference > Economics,Textbooks >,Textbooks > Economics,"Business, Investing and Management >","Business, Investing and Management > Economics",,,,,,,,,,Reference >,Reference > Economics,,,,,,,,
1652,EDN,EDUCATION,Academic and Professional > Education,Academic and Professional >,Textbooks >,Textbooks > Education,Children and Teens >,Children and Teens > Education,,,,,,,,,,,,,,,,,,,,,
1653,ELE,ELECTRICAL / ELECTRONICS,Academic and Professional > Electrical/Electronic Science,Academic and Professional >,Textbooks >,Textbooks > Electrical/Electronic Science,Science & Technology >,Science & Technology > Electrical/Electronic Science,,,,,,,,,,,,,,,,,,,,,
1654,ENCY,ENCYLOPEDIA,Reference >,Reference > Encyclopedia,Textbooks >,Textbooks > Encyclopedia,Coffee Table >,Coffee Table > Encyclopedia,Children and Teens >,Children and Teens > Encyclopedia,,,,,,,,,,Reference >,Reference > Encyclopedia,,,,,,,,
1655,ENT,ENT / OTOLARYNGOLOGY,Medical Books >,Medical Books > ENT/Otolaryngology,,,,,,,,,,,,,,,,,,,,,,,,,
1656,ESSAY,ESSAY / SPEECH / PRECIS WRITING,Academic and Professional > Essay/Precis Writings(Jounalism),Academic and Professional >,Literature & Fiction > Essay/Precis Writings,Literature & Fiction >,,,,,,,,,,,,,,Academic and Professional > Essay/Precis Writings(Jounalism),Academic and Professional >,Literature & Fiction > Essay/Precis Writings,,,,,,,
1657,EVS,ENVIRONMENT SC / POLLUTION,Reference >,Reference > Environmental Science/Polution,Outdoors & Nature > Environmental Polution,Outdoors & Nature > Environmental Science,Science & Technology >,Science & Technology > Environmental Science/Polution,,,,,,,,,,,,Reference >,Reference > Environmental Science/Polution,,,,,,,,
1658,EYE,OPTHALMOLOGY / EYE,Medical Books >,Medical Books > Opthalmology/Eye Disease,,,,,,,,,,,,,,,,,,,,,,,,,
1659,FAS,FASHION CRAFT EMBROIDERY STITCH,"Arts, Photography and Design > Stiching","Arts, Photography and Design >","Arts, Photography and Design > Craft","Arts, Photography and Design > Embroidery","Arts, Photography and Design > Fashion",Reference >,Reference > Stiching,Reference >,Reference > Embroidery,Reference > Craft,Reference > Fashion,Women >,Women > Fashion,Women >,Women > Craft,,,"Arts, Photography and Design > Stiching","Arts, Photography and Design >","Arts, Photography and Design > Craft","Arts, Photography and Design > Embroidery",Reference >,Reference > Stiching,Reference >,Reference > Embroidery,Reference > Craft,Reference > Fashion
1660,FIC,FICTION,Coffee Table >,Literature & Fiction > Fiction,Coffee Table > Fiction,,,,,,,,,,,,,,,Literature & Fiction > Fiction,,,,,,,,,
1661,FUR,ARCHITECTURE INTERIOR FURNITURE,"Arts, Photography and Design > Interior","Arts, Photography and Design >","Arts, Photography and Design > Architecture",Home & Garden > Architecture/Interior/Furniture,Home & Garden >,Reference >,Reference > Furniture,Reference > Interior,Reference > Architecture,Textbooks >,Textbooks > Architecture/Interior/Furniture,,,,,,,"Arts, Photography and Design > Interior",Reference >,Reference > Furniture,Reference > Interior,Reference > Architecture,,,,,
1774,G,GENERAL,Reference >,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,G&G,GATE & GRILLS,Home & Garden > Gate and Grills,Home & Garden >,,,,,,,,,,,,,,,,,,,,,,,,,
1663,GAR,GARDENING / PLANTS / SHRUBS / TREE,Home & Garden >,Home & Garden > Gardening/Plants/Shrubs/Trees,Reference >,Reference > Gardening/Plants/Shrubs/Trees,Outdoors & Nature > Plants,Outdoors & Nature > Trees,Outdoors & Nature > Shrubs,Outdoors & Nature > Gardening,,,,,,,,,,Reference >,Reference > Gardening/Plants/Shrubs/Trees,,,,,,,,
1664,GEN,GENERAL BOOKS,Reference >,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,GEO,GEOLOGY,Reference >,Reference > Geology,Textbooks >,Textbooks > Geology,,,,,,,,,,,,,,,,,,,,,,,
1666,GK,GENERAL KNOWLEDGE,Reference >,Reference > General Knowledge,Entrance Exams Preparation >,Entrance Exams Preparation > General Knowledge,Children and Teens >,Children and Teens > General Knowledge,,,,,,,,,,,,Reference >,Reference > General Knowledge,Entrance Exams Preparation >,,,,,,,
1667,GPY,GEOGRAPHY,Textbooks >,Textbooks > Geography,,,,,,,,,,,,,,,,,,,,,,,,,
1668,GRAM,GRAMMAR / SYN / ANT /,Literature & Fiction >,Literature & Fiction > Grammar/Synonym/Antonym,Reference >,Reference > Grammar/Synonym/Antonym,Textbooks >,Textbooks > Grammar/Synonym/Antonym,Children and Teens >,Children and Teens > Grammar/Synonym/Antonym,,,,,,,,,,Reference >,Reference > Grammar/Synonym/Antonym,,,,,,,,
1669,GUIDE,GUIDE VARIOUS EXAMS,Reference >,Reference > Guides,Textbooks >,Textbooks > Guides,,,,,,,,,,,,,,Reference >,Reference > Guides,,,,,,,,
1775,H,HUMANITIES,Reference >,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,HEA,ALTERNATIVE HEALTH / HEALTH CARE,Health and Fitness > Alternative Health/Health Care,Health and Fitness >,Reference >,Reference > Health Care,Reference > Alternative Health,Medical Books >,Medical Books > Alternative Health/Health Care,,,,,,,,,,,Reference > Health Care,Reference > Alternative Health,,,,,,,,
1671,HEMA,HEMATOLOGY / BLOOD,Medical Books >,Medical Books > Haematology,,,,,,,,,,,,,,,,,,,,,,,,,
1672,HIS,HISTORY,History and Politics > History,History and Politics >,Reference >,Reference > History,Textbooks >,Textbooks > History,,,,,,,,,,,,Reference >,Reference > History,,,,,,,,
1673,HMS,HOME SCIENCE,Reference >,Reference > Home Science,Women >,Women > Home Science,Textbooks > Home Science,,,,,,,,,,,,,Reference >,Reference > Home Science,,,,,,,,
1674,HOM,HOMEOPATHY,Reference >,Reference > Homeopathy,Medical Books >,Medical Books > Homeopathy,,,,,,,,,,,,,,Reference >,Reference > Homeopathy,,,,,,,,
1675,IFIC,INDIAN FICTION,Literature & Fiction > Indian Fiction,Literature & Fiction >,,,,,,,,,,,,,,,,,,,,,,,,,
1676,INTR,INTERVIEWS / GROUP DISCUSSION,Textbooks >,Textbooks > Inteviews/Group Discussion,Entrance Exams Preparation >,Entrance Exams Preparation > Inteviews/Group Discussion,"Business, Investing and Management >","Business, Investing and Management > Inteviews/Group Discussion",Reference >,Reference > Inteviews/Group Discussion,,,,,,,,,,Reference >,Reference > Inteviews/Group Discussion,,,,,,,,
1677,IQ,PUZZLES / IQ / QUIZ / EQ / CROSSWOR,Reference >,Reference > Puzzles,Children and Teens >,Children and Teens > Puzzles,,,,,,,,,,,,,,Reference >,Reference > Puzzles,,,,,,,,
1678,JEW,GOLD / SILVER / JEWELLERY,"Arts, Photography and Design > Jewelry/Catlog","Arts, Photography and Design >",Reference >,Reference > Jewelry/Catlog,Women >,Women > Jewelry/Catlog,,,,,,,,,,,,Reference >,Reference > Jewelry/Catlog,,,,,,,,
1679,JOK,JOKE / HUMOUR,Humor > Joke/Humor,Humor >,,,,,,,,,,,,,,,,,,,,,,,,,
1680,JOU,JOURNALISM,History and Politics > Journalism,History and Politics >,Literature & Fiction >,Literature & Fiction > Journalism,,,,,,,,,,,,,,Literature & Fiction >,Literature & Fiction > Journalism,,,,,,,,
1681,KS,SEX / KS,Reference >,Reference > Sex/Kamasutra,,,,,,,,,,,,,,,,,,,,,,,,,
1682,LANG,LANGUAGE / LANGUAGE LEARNING,Literature & Fiction >,Literature & Fiction > Language Learning,Reference >,Reference > Language Learning,Textbooks >,Textbooks > Language Learning,Children and Teens >,Children and Teens > Language Learning,,,,,,,,,,Literature & Fiction >,Literature & Fiction > Language Learning,Reference >,Reference > Language Learning,,,,,,
1683,LAW,LAW,History and Politics > Law,History and Politics >,Literature & Fiction > Law,Literature & Fiction >,Textbooks >,Textbooks > Law,Entrance Exams Preparation >,Entrance Exams Preparation > Law,"Business, Investing and Management >","Business, Investing and Management > Law",,,,,,,,Literature & Fiction > Law,Literature & Fiction >,,,,,,,,
1684,LET,LETTER WRITING,Reference >,Reference > Letter Writing,Entrance Exams Preparation >,Entrance Exams Preparation > Letter Writing,Coffee Table >,Children and Teens > Letter Writing,,,,,,,,,,,,Reference >,Reference > Letter Writing,Coffee Table >,,,,,,,
1685,LIB,LIBRARY SCIENCE,Literature & Fiction >,Literature & Fiction > Library Science,Reference >,Reference > Library Science,Textbooks >,Textbooks > Library Science,,,,,,,,,,,,Reference >,Reference > Library Science,,,,,,,,
1686,LIT,LITERATURE,Literature & Fiction >,Literature & Fiction > Literature,Reference >,Reference > Literature,Textbooks >,Textbooks > Literature,,,,,,,,,,,,Reference >,Reference > Literature,,,,,,,,
1688,MAG,MAGIC,Reference >,Reference > Magic,Crafts & Hobbies >,Crafts & Hobbies > Magic,Children and Teens >,Children and Teens > Magic,,,,,,,,,,,,Reference >,Reference > Magic,,,,,,,,
1689,MAP,ATLAS / MAPS / GUIDES / TRAVEL LOG,Reference >,Reference > Atlas/Maps/Travel logs,Children and Teens >,Children and Teens > Atlas/Maps/Travel logs,Travel >,Travel > Atlas/Maps/Travel logs,,,,,,,,,,Textbooks >,,Reference >,Reference > Atlas/Maps/Travel logs,,,,,,,,
1690,MAT,MATHEMATICS,Reference >,Reference > Mathematics,Textbooks >,Textbooks > Mathematics,,,,,,,,,,,,,,Reference >,Reference > Mathematics,,,,,,,,
1691,MEC,MECHANICAL,Textbooks >,Textbooks > Mechanical engineering,,,,,,,,,,,,,,,,,,,,,,,,,
1692,MED,MEDICINE,Reference >,Reference > Medicine,Textbooks >,Textbooks > Medicine,,,,,,,,,,,,,,Reference >,Reference > Medicine,,,,,,,,
1776,MEDICAL,DO NOT USE THIS CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,MEDMCQ,USMLE / NMS / MCQ / NOTES / VIVA,Textbooks >,Textbooks > USMLE/NMS/MCQ/Notes Viva ( Medical Entrance Exam),Entrance Exams Preparation >,Entrance Exams Preparation > USMLE/NMS/MCQ/Notes Viva ( Medical Entrance Exam),Medical Books >,Medical Books > Medicine USMLE/NMS/MCQ/Notes Viva ( Medical Entrance Exam),,,,,,,,,,,,,,,,,,,,,
1694,MGT,MANAGEMENT,Reference >,Reference > Management,Textbooks >,Textbooks > Management,"Business, Investing and Management >","Business, Investing and Management > Management",,,,,,,,,,,,Reference >,Reference > Management,,,,,,,,
1695,MICR,MICROBIOLOGY,Reference > Tourism/Hotel Management,Textbooks > Microbiology,,,,,,,,,,,,,,Textbooks >,,Reference > Tourism/Hotel Management,,,,,,,,,
1696,MUS,MUSIC / FILM / DANCE,"Arts, Photography and Design > Music/Films /Dance","Arts, Photography and Design >","Music, Films and Entertainment >","Music, Films and Entertainment > Music","Music, Films and Entertainment > Films","Music, Films and Entertainment > Dance",Reference >,Reference > Music/Films /Dance,,,,,,,,,,"Arts, Photography and Design > Music/Films /Dance","Arts, Photography and Design >",Reference >,Reference > Music/Films /Dance,,,,,,
1777,N,NOVELS,Literature & Fiction >,Literature & Fiction > Fiction,,,,,,,,,,,,,,,,,,,,,,,,,
1697,NEU,NEUROLOGY / NEUROSURGERY / NERVES,Textbooks >,Textbooks > Neurology/ Nuero surgery/Nerves,Medical Books >,Medical Books > Neurology/ Nuero surgery/Nerves,,,,,,,,,,,,,,,,,,,,,,,
1698,NFI,NON FICTION,Literature & Fiction > Non-Fiction,Literature & Fiction >,Reference >,Reference > Non-Fiction,,,,,,,,,,,,,,Reference >,Reference > Non-Fiction,,,,,,,,
1701,NUM,ASTRO / NUMERO / PALM / HOROSCOPE,Reference >,Reference > Astrology,Reference > Numerology,Reference > Palmistry,Reference > Horoscope,Religion & Spirituality >,Religion & Spirituality > Horoscope,Religion & Spirituality > Palmistry,Religion & Spirituality > Numerology,Religion & Spirituality > Astrology,,,,,,,,,,,,,,,,,
1702,NUR,NURSING,Health and Fitness > Nursing,Health and Fitness >,Outdoors & Nature >,Women > Neonatolgy,250,Women > Neonatolgy,349,Women > Neonatolgy,5,,,,,,,,,Health and Fitness > Nursing,Health and Fitness >,,,,,,,,
1703,OBG,OBSTETRICS & GYNAECOLOGY,Textbooks >,Textbooks > Obsterics/Gynecology/Neonatolgy,Women >,Women > Obsterics,Women > Gynecology,Medical Books >,Medical Books > Gynecology,Medical Books >,Medical Books > Obsterics,,,,,,,,,,,,,,,,,,
1704,OCC,OCCULT / SPIRITS,Outdoors & Nature >,268,"Business, Investing and Management > Common Entrance Test",Science & Technology >,Science & Technology > Occult Science/Spirits,Religion & Spirituality >,Religion & Spirituality > Occult Science/Spirits,,,,,,,,,,,Outdoors & Nature >,268,"Business, Investing and Management > Common Entrance Test",,,,,,,
1705,ORTH,ORTHOPAEDICS & FRACTURES,Textbooks >,Textbooks > Orthopaedics& Fracture,Reference >,Reference > Spirits Orthopaedics& Fracture,Medical Books >,Medical Books > Orthopaedics& Fracture,,,,,,,,,,,,Reference >,Reference > Spirits Orthopaedics& Fracture,,,,,,,,
1778,P,PCMB,Textbooks >,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,PAED,PAEDIATRICS,Reference >,Textbooks > Paediatrics,Reference > Paediatrics,Medical Books > Paediatrics,Medical Books > Neonatolgy,,,,,,,,,,,,,Reference >,Reference > Paediatrics,,,,,,,,
1708,PATH,PATHOLOGY / MLT / DISEASE,Reference >,Textbooks > Pathology,Reference > Pathology,Medical Books >,Medical Books > Pathology,,,,,,,,,,,Textbooks >,,Reference >,Reference > Pathology,,,,,,,,
1710,PHA,PHARMACY / PHARMACOLOGY,Medical Books >,Medical Books > Pharmacy/Pharmacology,Reference >,Textbooks > Pharmacy/Pharmacology,Reference > Pharmacology,Reference > Pharmacy,,,,,,,,,,Textbooks >,,Reference >,Reference > Pharmacology,Reference > Pharmacy,,,,,,,
1711,PHI,PHILOSOPHY,Reference >,Reference > Philosophy,Self-Help >,Self-Help > Inteviews/Group Discussion,Religion & Spirituality >,Religion & Spirituality > Philosophy,,,,,,,,,,Self-Help > Philosophy,,Reference >,Reference > Philosophy,Self-Help > Inteviews/Group Discussion,,,,,,,
1712,PHO,PHOTO / CAMERA,"Arts, Photography and Design > Photography/Camera","Arts, Photography and Design >","Music, Films and Entertainment >","Music, Films and Entertainment > Photography","Music, Films and Entertainment > Camera",Reference >,Reference > Photography/Camera,Crafts & Hobbies >,Crafts & Hobbies > Photography/Camera,Travel >,Travel > Photography/Camera,,,,,,,Reference >,Reference > Photography/Camera,,,,,,,,
1713,PHY,PHYSICS,Textbooks > Physics,Reference >,Reference > Physics,,,,,,,,,,,,,Textbooks >,,Reference >,Reference > Physics,,,,,,,,
1714,PHYSIO,PHYSIOLOGY,Medical Books >,Medical Books > Physiology,Reference >,Reference > Physiology,Textbooks >,Textbooks > Political Science,,,,,,,,,,,,Reference >,Reference > Physiology,,,,,,,,
