KA 42 8482,AL Bus ,TKM,133
KA 42 8483,AL Bus ,TKM,144
KA 42 8484,AL Bus ,TKM,104
KA 42 8485,AL Bus ,TKM,140
KA 42 8522,AL Bus ,TKM,103
KA 42 8523,AL Bus ,TKM,121
KA 42 8524,AL Bus ,TKM,50
KA 42 8525,AL Bus ,Strides,
KA 42 8526,AL Bus ,TKM,106
KA 42 8527,AL Bus ,Strides,
KA 42 8542,AL Bus ,TKM,25
KA 42 8543,AL Bus ,TKM,30
KA 42 8544,AL Bus ,TKM,43
KA 42 8545,AL Bus ,TKM,147
KA 42 8621,AL Bus ,Honda,
KA 42 8622,AL Bus ,Honda,
KA 42 8623,AL Bus ,Needs,
KA 42 8624,AL Bus ,RBAI,
KA 42 8625,AL Bus ,Bosch,
KA 42 8626,AL Bus ,Needs,
KA 42 8740 ,AL Bus ,Honda,
KA 42 8741,AL Bus ,Needs,
KA 42 8742,AL Bus ,Honda,
KA 42 8743,AL Bus ,Honda,
KA 42 8793,AL Bus ,TKM,51
KA 42 8794,AL Bus ,TKM,159
KA 42 8795,AL Bus ,TKM,102
KA 42 8796,AL Bus ,TKM,101
KA 42 8797,AL Bus ,TKM,160
KA 42 8798,AL Bus ,TKM,108
KA 42 8799,AL Bus ,TKM,
KA 42 8800,AL Bus ,TKM,115
KA 05 AD 6189,Sumo,HDC,
KA 05 AD 6194,Sumo,HDC,
KA 05 AD 6196,Sumo,HDC,
KA 05 AD 6198,Sumo,HDC,
KA 42 A 267,AL Bus ,HDC,
KA 42 A 268,AL Bus ,HDC,
KA 42 A 269,AL Bus ,HDC,
KA 05 AE 316,Mazda,TLIPL,56
KA 42 A 1517,AL Bus ,Honda,
KA 42 A 1518,AL Bus ,Honda,
KA 42 A 1519,AL Bus ,Needs,
KA 42 A 1520,AL Bus ,Unipart,
KA 42 A 1521,AL Bus ,Honda,
KA 42 A 1522,AL Bus ,Honda,
KA 42 A 1523,AL Bus ,Needs,
KA 42 A 1524,AL Bus ,Honda,
KA 42 A 1607,AL Bus ,Honda,
KA 42 A 1608,AL Bus ,Strides,
KA 42 A 1609,AL Bus ,Strides,
KA 42 A 1610,AL Bus ,,
KA 42 A 1611,AL Bus ,Bluefish,
KA 42 A 1612,AL Bus ,Amazon,
KA 42 A 1613,AL Bus ,Honda,
KA 42 A 1614,Mazda,Strides,
KA 42 A 1615,Mazda,MSSL,62
KA 42 A 1616,Mazda,MSSL,
KA 42 A 1617,Mazda,Johnson,57
KA 42 A 1618,Mazda,Johnson,76
KA 42 A 1619,Mazda,Johnson,65
KA 42  9399,AL Bus ,Honda,
KA 42  9499,AL Bus ,Honda,
KA 51 B 5548,Eicher,APC,
KA 51 B 5550,Eicher,APC,
KA 51 B 5554,Eicher,APC,
KA 51 B 5557,Eicher,Strides,
KA 05 AE 4037,T T,TLIPL,
KA 51 B 8620,ALL,Strides,
KA 51 B 8618,ALL,APC,
KA 42 A 3103,AL Bus ,Strides,
KA 42 A 3104,AL Bus ,Unipart,
KA 42 A 3105,AL Bus ,Rapsri,
KA 42 A 3106,AL Bus ,HDC,
KA 42 A 3107,AL Bus ,Rapsri,
KA 51 C 0101,ALL,MSSL,60
KA 51 C 0105,ALL,Strides,
KA 51 C 0109,ALL,Strides,
KA 51 C 0121,ALL,MSSL,61
KA 51 C 0130,ALL,Strides,
KA 51 C 0033,Mazda,RBAI,
KA 51 C 0035,Mazda,MSSL,63
KA 51 C 0038,Mazda,Johnson,85
KA 51 C 0040,Mazda,Bluefish,
KA 51 C 0042,Mazda,RBAI,
KA 51 C 0043,Mazda,Strides,
KA 51 C 0049,Mazda,Johnson,86
KA 51 C 0050,Mazda,MSSL,64
KA 51 C 0051,Mazda,RBAI,
KA 51 C 0052,Mazda,MSSL,88
KA 51 C 98,Tata Ultra,BoschNHP,
KA 51 C 104,Tata Ultra,BoschNHP,
KA 51 C 108,Tata Ultra,BoschNHP,
KA 51 C 112,Tata Ultra,BoschNHP,
KA 51 C 114,Tata Ultra,BoschNHP,
KA 51 C 118, Marcopolo,Strides,
KA 05 AE 6093,T T,Bluefish,
KA 05 AE 6089,T T,Bluefish,
KA 51 C 678,Tata Ultra,BoschNHP,
KA 51 C 681,Tata Ultra,BoschNHP,
KA 51 C 682,Tata Ultra,BoschNHP,
KA 51 C 685,Tata Ultra,BoschNHP,
KA 51 C 689,Tata Ultra,BoschNHP,
KA 51 C 697,Tata Ultra,BoschNHP,
KA 51 C 701,Tata Ultra,BoschNHP,
KA 51 C 704,Tata Ultra,BoschNHP,
KA 51 C 705,Tata Ultra,BoschNHP,
KA 42 A 3522,Mazda,TKM,118
KA 42 A 3523,Mazda,TKM,124
KA 42 A 3524,Mazda,TKM,105
KA 42 A 3540,Mazda,TKM,52
KA 51 C 2014 ,AL Boss,Tanker,
KA 05 AB 9674,TT,SKF,
KA 42 A 1531,Mazda,SKF,
KA 05 AE 7119,TT,TLIPL,
KA 05 AD 5044,ACE,Sodexo,
KA 05 AD 5040,ACE,Sodexo,
KA 05 AC 2930,TT,Strides,
KA 01 AA 1713,TT,SKF,
KA 05 AB 9674,TT,SKF,
KA 42 A 1531,Mazda,SKF,
KA 51 C 1424,Eicher,Aosmith,
KA 51 C 2220,Tata Bus,BoschKM,201
KA 51 C 2221,Tata Bus,BoschKM,207
KA 51 C 2224,Tata Bus,BoschKM,212
KA 51 C 2225,Tata Bus,BoschKM,206
KA 51 C 2226,Tata Bus,BoschKM,211
KA 51 C 2227,Tata Bus,BoschKM,204
KA 51 C 2228,Tata Bus,BoschKM,208
KA 51 C 2230,Tata Bus,BoschKM,202
KA 51 C 2231,Tata Bus,BoschKM,210
KA 51 C 2232,Tata Bus,BoschKM,203
KA 51 C 2234,Tata Bus,BoschKM,209
KA 51 C 2235,Tata Bus,BoschKM,213
KA 51 C 2236,Tata Bus,BoschKM,214
KA 51 C 2237,Tata Bus,BoschKM,215
KA 51 C 2238,Tata Bus,BoschKM,216
KA 51 C 2239,Tata Bus,BoschKM,217
KA 51 C 2240,Tata Bus,BoschKM,218
KA 51 C 2241,Tata Bus,BoschKM,220
KA 51 C 2242,Tata Bus,BoschKM,221
KA 51 C 2243,Tata Bus,BoschKM,222
KA 51 C 2244,Tata Bus,BoschKM,205
KA 51 C 2245,Tata Bus,BoschKM,223
KA 05 AE 8713,Sumo,RBAI,
KA 05 AE 8718,Sumo,RBAI,
KA 05 AE 8727,Sumo,RBAI,
KA 05 AE 8729,Sumo,RBAI,
KA 05 C 3016,T T,RBAI,
KA 05 C 3017,T T,RBAI,
KA 05 C 3018,T T,RBAI,
KA 05 C 3019,T T,,
KA 05 C 3020,T T,RBAI,
KA 05 C 3021,T T,RBAI,
KA 05 C 3022,T T,RBAI,
KA 05 C 3023,T T,RBAI,
KA 05 C 3024,T T,RBAI,
KA 05 C 3025,T T,RBAI,
KA 05 C 3026,T T,RBAI,
KA 05 C 3027,T T,RBAI,
